"unigram","bigram","freq"
"think","of",84
"when","it",84
"after","the",83
"and","his",83
"and","to",83
"as","it",83
"better","than",83
"but","its",83
"but","not",83
"but","you",83
"if","it",83
"ready","for",83
"that","are",83
"when","they",83
"and","more",82
"but","we",82
"i","said",82
"my","own",82
"needs","to",82
"of","people",82
"the","game",82
"this","weekend",82
"to","stop",82
"down","the",81
"enough","to",81
"i","used",81
"im","a",81
"like","that",81
"me","that",81
"out","there",81
"those","who",81
"to","this",81
"was","so",81
"what","the",81
"you","cant",81
"all","i",80
"and","have",80
"good","to",80
"if","we",80
"not","only",80
"on","it",80
"to","think",80
"years","ago",80
"you","all",80
"according","to",79
"could","be",79
"do","i",79
"from","my",79
"happy","birthday",79
"i","wanted",79
"the","rest",79
"was","not",79
"when","we",79
"with","this",79
"can","do",78
"for","some",78
"good","morning",78
"have","no",78
"if","they",78
"in","an",78
"out","for",78
"the","fact",78
"them","to",78
"chance","to",77
"how","many",77
"i","also",77
"in","that",77
"like","i",77
"make","sure",77
"that","a",77
"that","she",77
"that","would",77
"to","tell",77
"was","just",77
"what","we",77
"a","day",76
"are","in",76
"as","they",76
"as","we",76
"down","to",76
"i","found",76
"is","still",76
"like","this",76
"much","more",76
"of","what",76
"the","house",76
"the","story",76
"the","top",76
"this","time",76
"was","in",76
"who","is",76
"and","is",75
"and","she",75
"do","the",75
"hard","to",75
"has","to",75
"last","year",75
"live","in",75
"mothers","day",75
"my","first",75
"on","twitter",75
"should","have",75
"tell","me",75
"the","th",75
"to","read",75
"with","your",75
"its","the",74
"love","it",74
"must","be",74
"so","that",74
"you","a",74
"a","week",73
"can","i",73
"each","other",73
"going","on",73
"is","on",73
"make","the",73
"people","are",73
"so","we",73
"the","city",73
"think","about",73
"up","a",73
"when","he",73
"as","you",72
"i","mean",72
"i","went",72
"new","york",72
"rest","of",72
"to","his",72
"a","man",71
"about","a",71
"at","work",71
"for","it",71
"high","school",71
"i","made",71
"i","never",71
"know","i",71
"off","to",71
"the","word",71
"their","own",71
"this","was",71
"to","look",71
"a","nice",70
"all","day",70
"can","get",70
"day","of",70
"fact","that",70
"on","their",70
"such","as",70
"the","s",70
"where","the",70
"will","have",70
"after","a",69
"are","so",69
"before","the",69
"it","a",69
"my","friends",69
"or","the",69
"since","i",69
"sort","of",69
"to","her",69
"wants","to",69
"we","do",69
"all","that",68
"along","with",68
"be","on",68
"day","to",68
"here","is",68
"how","i",68
"is","what",68
"it","on",68
"of","me",68
"or","a",68
"side","of",68
"a","while",67
"a","year",67
"about","this",67
"all","my",67
"and","how",67
"and","some",67
"and","this",67
"are","all",67
"day","and",67
"gonna","be",67
"is","now",67
"its","all",67
"made","it",67
"rather","than",67
"time","and",67
"you","could",67
"but","im",66
"i","always",66
"im","just",66
"is","one",66
"it","but",66
"life","is",66
"one","day",66
"the","road",66
"what","are",66
"what","it",66
"wish","i",66
"with","her",66
"working","on",66
"am","i",65
"at","my",65
"had","the",65
"know","the",65
"out","on",65
"to","it",65
"to","write",65
"today","i",65
"what","do",65
"with","it",65
"you","just",65
"you","see",65
"a","huge",64
"and","now",64
"could","have",64
"even","though",64
"might","be",64
"my","new",64
"not","just",64
"only","one",64
"social","media",64
"sure","to",64
"the","us",64
"think","the",64
"to","follow",64
"to","talk",64
"to","try",64
"today","is",64
"under","the",64
"we","all",64
"we","dont",64
"why","i",64
"with","his",64
"a","time",63
"and","her",63
"full","of",63
"interested","in",63
"it","just",63
"she","has",63
"to","meet",63
"to","share",63
"to","stay",63
"wait","for",63
"what","they",63
"where","i",63
"would","you",63
"yes","i",63
"at","home",62
"due","to",62
"for","her",62
"for","that",62
"in","order",62
"my","heart",62
"my","mind",62
"on","to",62
"out","in",62
"so","you",62
"talk","about",62
"thats","a",62
"the","big",62
"the","year",62
"this","one",62
"to","eat",62
"to","learn",62
"you","like",62
"and","if",61
"even","if",61
"excited","to",61
"him","to",61
"just","got",61
"less","than",61
"that","my",61
"the","more",61
"there","were",61
"to","leave",61
"to","put",61
"you","too",61
"you","would",61
"a","bad",60
"about","how",60
"across","the",60
"because","it",60
"before","i",60
"how","do",60
"in","which",60
"many","of",60
"miss","you",60
"sounds","like",60
"top","of",60
"who","has",60
"with","an",60
"you","so",60
"a","real",59
"i","wanna",59
"in","her",59
"is","your",59
"its","been",59
"just","as",59
"not","in",59
"she","had",59
"than","a",59
"that","this",59
"the","real",59
"the","second",59
"they","can",59
"to","check",59
"told","me",59
"would","love",59
"you","i",59
"an","hour",58
"and","there",58
"at","am",58
"be","there",58
"do","with",58
"i","started",58
"is","about",58
"it","for",58
"may","have",58
"or","not",58
"see","it",58
"seems","to",58
"still","have",58
"supposed","to",58
"the","great",58
"theres","a",58
"us","to",58
"was","going",58
"a","small",57
"and","other",57
"but","if",57
"for","their",57
"it","doesnt",57
"it","seems",57
"just","like",57
"last","week",57
"lets","go",57
"make","me",57
"of","time",57
"on","her",57
"on","that",57
"out","with",57
"people","in",57
"that","will",57
"the","state",57
"think","it",57
"who","have",57
"with","all",57
"with","us",57
"a","way",56
"about","you",56
"as","much",56
"based","on",56
"find","a",56
"in","fact",56
"is","like",56
"it","with",56
"my","head",56
"now","that",56
"thats","what",56
"the","entire",56
"the","future",56
"the","good",56
"the","morning",56
"they","will",56
"things","that",56
"with","some",56
"you","ever",56
"you","may",56
"your","own",56
"close","to",55
"do","that",55
"do","this",55
"for","an",55
"for","more",55
"for","us",55
"got","the",55
"i","felt",55
"im","in",55
"is","also",55
"is","good",55
"just","the",55
"lack","of",55
"little","bit",55
"me","the",55
"next","week",55
"not","have",55
"on","his",55
"that","there",55
"the","back",55
"the","night",55
"the","sun",55
"the","weekend",55
"to","buy",55
"to","win",55
"with","that",55
"a","chance",54
"and","for",54
"but","he",54
"give","me",54
"happy","to",54
"have","an",54
"have","any",54
"im","sure",54
"in","one",54
"listen","to",54
"me","in",54
"my","phone",54
"no","idea",54
"order","to",54
"piece","of",54
"tell","you",54
"the","show",54
"thinking","about",54
"tried","to",54
"welcome","to",54
"you","on",54
"am","not",53
"as","long",53
"at","me",53
"being","a",53
"comes","to",53
"for","those",53
"is","all",53
"know","if",53
"see","a",53
"talk","to",53
"the","kids",53
"they","dont",53
"to","sleep",53
"waiting","for",53
"all","about",52
"and","one",52
"and","what",52
"any","of",52
"because","the",52
"because","they",52
"but","this",52
"day","i",52
"have","it",52
"him","and",52
"i","couldnt",52
"i","wonder",52
"is","this",52
"it","comes",52
"long","as",52
"made","a",52
"so","excited",52
"the","lord",52
"the","middle",52
"them","in",52
"we","got",52
"with","their",52
"yeah","i",52
"a","friend",51
"an","amazing",51
"are","going",51
"but","they",51
"deal","with",51
"i","decided",51
"look","forward",51
"me","up",51
"my","friend",51
"out","a",51
"pick","up",51
"take","the",51
"the","door",51
"them","and",51
"to","us",51
"we","should",51
"what","to",51
"which","i",51
"while","i",51
"will","not",51
"your","life",51
"and","your",50
"as","an",50
"dont","like",50
"front","of",50
"get","some",50
"in","some",50
"made","me",50
"my","husband",50
"now","and",50
"of","being",50
"one","that",50
"so","im",50
"some","people",50
"that","its",50
"the","moment",50
"think","that",50
"to","their",50
"work","for",50
"you","go",50
"and","on",49
"be","sure",49
"check","it",49
"find","out",49
"for","following",49
"for","them",49
"go","back",49
"i","might",49
"im","still",49
"in","all",49
"in","love",49
"in","to",49
"it","as",49
"it","so",49
"like","you",49
"look","like",49
"much","of",49
"no","matter",49
"on","our",49
"so","the",49
"that","im",49
"the","two",49
"to","change",49
"to","live",49
"to","that",49
"you","got",49
"a","single",48
"all","these",48
"all","this",48
"and","had",48
"believe","that",48
"between","the",48
"come","back",48
"continue","to",48
"for","his",48
"get","your",48
"if","he",48
"it","can",48
"let","us",48
"me","on",48
"on","facebook",48
"rt","i",48
"said","that",48
"so","it",48
"the","old",48
"the","team",48
"think","its",48
"to","bring",48
"to","create",48
"to","show",48
"watching","the",48
"we","get",48
"when","she",48
"about","my",47
"all","over",47
"can","see",47
"dont","get",47
"for","being",47
"have","fun",47
"hope","to",47
"in","any",47
"love","that",47
"me","too",47
"much","better",47
"next","to",47
"on","top",47
"one","is",47
"the","movie",47
"think","you",47
"time","in",47
"was","an",47
"willing","to",47
"a","book",46
"a","free",46
"after","all",46
"and","their",46
"and","will",46
"come","on",46
"come","out",46
"could","not",46
"day","in",46
"every","time",46
"had","no",46
"i","read",46
"in","life",46
"its","just",46
"ive","got",46
"just","saw",46
"may","not",46
"not","even",46
"sense","of",46
