"unigram","BigramTM","TrigramTM","freq"
"we","want","to",12
"what","to","do",12
"will","be","on",12
"will","be","the",12
"would","have","to",12
"you","dont","know",12
"you","go","to",12
"you","know","that",12
"you","know","what",12
"a","few","hours",11
"a","little","more",11
"and","i","think",11
"and","you","will",11
"are","in","the",11
"based","on","the",11
"be","on","the",11
"be","the","first",11
"day","of","the",11
"feel","free","to",11
"give","me","a",11
"had","no","idea",11
"have","no","idea",11
"he","is","a",11
"i","am","so",11
"i","can","get",11
"i","did","not",11
"i","do","not",11
"i","got","to",11
"i","have","ever",11
"i","have","never",11
"i","thought","the",11
"i","was","so",11
"if","they","are",11
"if","you","think",11
"in","the","new",11
"in","the","us",11
"is","not","the",11
"its","going","to",11
"last","night","i",11
"middle","of","the",11
"my","way","to",11
"need","to","get",11
"needs","to","be",11
"not","sure","if",11
"not","to","mention",11
"out","of","my",11
"over","the","years",11
"so","much","better",11
"spread","the","word",11
"the","ability","to",11
"the","kind","of",11
"the","opportunity","to",11
"the","point","of",11
"the","time","i",11
"this","is","what",11
"this","was","a",11
"to","do","is",11
"to","do","so",11
"to","go","with",11
"to","live","in",11
"to","say","that",11
"to","talk","about",11
"to","the","next",11
"to","the","point",11
"to","think","of",11
"we","are","all",11
"went","to","the",11
"what","did","you",11
"what","it","is",11
"what","kind","of",11
"when","it","comes",11
"when","you","get",11
"you","and","your",11
"you","guys","are",11
"you","had","a",11
"a","great","time",10
"a","long","day",10
"a","pair","of",10
"a","picture","of",10
"all","over","the",10
"and","i","was",10
"and","that","is",10
"appear","to","be",10
"as","far","as",10
"as","you","can",10
"away","from","the",10
"awkward","moment","when",10
"back","of","the",10
"be","at","the",10
"be","in","the",10
"can","i","get",10
"do","the","same",10
"for","a","long",10
"for","some","reason",10
"for","the","mention",10
"front","of","the",10
"get","back","to",10
"get","out","of",10
"going","to","do",10
"had","a","blast",10
"have","been","a",10
"have","you","been",10
"i","am","now",10
"i","can","do",10
"i","can","tell",10
"i","could","be",10
"i","get","a",10
"i","had","no",10
"i","just","want",10
"i","like","the",10
"i","think","im",10
"im","pretty","sure",10
"in","a","way",10
"in","terms","of",10
"just","saw","a",10
"know","what","you",10
"live","in","the",10
"make","sure","to",10
"of","the","time",10
"of","the","week",10
"of","you","who",10
"over","and","over",10
"pay","attention","to",10
"ready","for","the",10
"seem","to","be",10
"since","i","was",10
"some","sort","of",10
"such","a","great",10
"thank","you","i",10
"that","i","could",10
"that","is","a",10
"that","is","not",10
"that","we","have",10
"that","you","can",10
"the","next","few",10
"the","other","side",10
"there","are","a",10
"there","was","no",10
"they","have","to",10
"think","i","have",10
"to","be","able",10
"to","be","at",10
"to","become","a",10
"to","find","out",10
"to","know","that",10
"to","see","a",10
"to","see","if",10
"to","see","my",10
"wait","for","the",10
"we","decided","to",10
"we","had","a",10
"what","i","was",10
